,0
0,1.6964319999999988
1,4.206241
2,-0.515705999999998
3,13.792183000000001
4,4.29401
5,2.6968144000000005
6,4.613264999999999
7,-1.8159099999999988
8,7.454943
9,-3.0669197000000006
10,-2.978152999999999
11,-1.5344049999999996
12,4.736284000000001
13,17.372390000000003
14,-23.824504999999988
15,0.4560449999999996
16,1.3506870000000006
17,-0.8126320000000007
18,-4.419026000000002
19,-5.245560000000001
20,-0.5770863999999998
21,2.4961425000000004
22,2.1883127
23,0.8627691999999998
24,0.9204120000000007
25,-0.923884000000001
26,0.2472360000000009
27,0.17039300000000068
28,-0.8254608000000001
29,0.738683
30,-3.5361400000000005
31,-0.6699579999999994
32,-2.172136
33,-0.4680679999999988
34,1.2979408
35,-0.6053920000000002
36,-0.7459630000000006
37,0.8989360000000008
38,0.722823
39,-2.6830099999999995
40,-5.234166
41,-4.948178
42,-1.8074589999999997
43,-4.495361000000001
44,1.6474505000000006
45,0.33352699999999835
46,-0.5208429999999993
47,3.9482930000000014
48,0.8632589999999993
49,1.5490560000000002
50,-0.11880999999999631
51,13.879040000000003
52,6.246146999999997
53,4.7998660000000015
54,7.1186996
55,-2.7727739999999983
56,-7.783741762999995
57,-3.0941587777777784
58,-14.713164777777777
59,-15.718031777777767
60,-7.678039962999989
61,-5.102857777777778
62,18.7631473
63,-3.6668840000000005
64,17.166959300000002
65,9.2535505
66,-8.997551
67,4.7585664
68,-0.9621579999999996
69,5.148930999999999
70,-10.646066000000001
71,-2.9874050000000008
72,-2.8743179999999997
73,0.0009984999999996802
74,-6.402475
75,-5.4388556
76,2.3617882999999997
77,4.222833
78,0.6067533000000003
79,2.6894109999999998
80,-7.421146
81,0.44627399999999984
82,-5.096278
83,1.9616699999999998
84,10.499435000000005
85,-20.519254888888888
86,7.274484111111111
87,-4.847185111111109
88,8.275734333333332
89,-7.916655333333331
90,8.138532555555555
91,0.9786197777777801
92,6.268041744444445
93,5.441701888888888
94,6.24332933333333
95,1.3744960000000006
96,14.513020222222224
97,3.7481952222222183
98,0.7233442222222166
99,0.8748784000000001
100,0.9425288
101,1.0057364
102,-1.1704124999999999
103,9.782849
104,-0.8121349999999998
105,0.4930294000000002
106,2.0947249
107,-0.7529564000000013
108,6.228430599999999
109,0.98645573
110,4.789286000000001
111,5.3581496
112,3.1552879999999996
113,-4.71632
114,3.9052279999999997
115,4.0398703
116,-0.3776563000000004
117,2.2709184
118,-0.5340479999999999
119,8.5745307
120,3.7673619999999994
121,3.6033180000000016
122,-6.832955000000002
123,4.202883999999997
124,0.6253012
125,3.6353760000000004
126,1.2052549999999975
127,0.052560000000006823
128,-1.0322440999999998
129,-2.0580630000000006
130,1.2265049999999995
131,5.606759
132,0.8825299999999956
133,-7.09628
134,-3.197336
135,8.712336
136,-6.664450000000002
137,3.4871440000000007
138,-1.0151439999999994
139,3.9942526000000003
140,3.796345
141,-2.2473511
